ano,posicao,escola,pontos,link,letra
1969,1,Acadêmicos do Salgueiro Bahia de todos os deuses L,129.0,https://galeriadosamba.com.br/escolas-de-samba/academicos-do-salgueiro/1969/,"Bahia, os meus olhos estão brilhando, 
Meu coração palpitando 
De tanta felicidade. 
És a rainha da beleza universal, 
Minha querida Bahia, 
Muito antes do Império 
Foste a primeira capital 
Preto Velho Benedito já dizia 
Felicidade também mora na Bahia, 
Tua história, tua glória 
Teu nome é tradição, 
Bahia do velho mercado 
Subida da Conceição.
És tão rica em minerais, 
Tens cacau, tens carnaúba, 
Famoso jacarandá, 
Terra abençoada pelos deuses, 
E o petróleo a jorrar
Nega baiana, 
Tabuleiro de quindim, 
Todo dia ela está 
Na igreja do Bonfim, oi 
Na ladeira tem, tem capoeira, 
Zum, zum, zum,
Zum, zum, zum,
Capoeira mata um!"
1969,2,Estação Primeira de Mangueira Mercadores e suas tradições L A,126.0,https://galeriadosamba.com.br/escolas-de-samba/estacao-primeira-de-mangueira/1969/,"Abriu-se a cortina do passado
Neste palco iluminado
Onde tudo é carnaval
Vamos recordar
Nesta grande apoteose
Uma história triunfal
Brasil dos mercadores
Aventureiros e sonhadores
Que desbravaram o sertão
Deste imenso rincão
 
Foi tão sublime
O ideal dos pioneiros
Bandeirantes de um progresso
Soberano e altaneiro
 
Na imensidão de nossas matas
Cachoeiras e cascatas
Fontes de riqueza natural
Era extraído um tesouro
Onde imperava o ouro
E os verdes canaviais
Em Vila Rica os mercadores
Ostentavam seus brasões
Nos elegantes salões
 
Longe, ao longe então se ouvia
A suave sinfonia
Dos mascates em pregão
 
Glória a estes bravos
Que lutaram por um ideal
E conseguiram conquistar
As riquezas do Brasil colonial"
1969,3,Portela Treze naus L A S,118.0,https://galeriadosamba.com.br/escolas-de-samba/portela/1969/,"Apesar de muitos séculos passados
Jamais o povo esquecerá
Essa gloriosa página
Que hoje tornamos a exaltar
Saindo de Portugal
Trazendo sob seu comando treze naus
Com destino às Índias
Seguia Pedro Álvares Cabral
Mas ao se afastar das calmarias
Novas terras descobria
Criava assim um mundo novo
 
E glorificava um grande povo
La la la  la la la la la la la la
La la la  la la la la la la la la
 
Esse feito colossal
Fez o nobre de Belmonte, imortal
O seu sangue de aventureiro
Seu amor ao marinheiro
Ao seu rei e a Portugal
Sua bravura e coragem
Cruzando mares de estranhas regiões
 Fizeram dele herói
 
E orgulho de duas nações
 
Ao finalizar esta epopéia deslumbrante
Com imenso orgulho exaltamos
O nome desse nobre navegante
La la la  la la la la la la la la
La la la  la la la la la la la la"
1969,4,Império Serrano Heróis da liberdade L A S,113.0,https://galeriadosamba.com.br/escolas-de-samba/imperio-serrano/1969/,"Ô ô ô 
Liberdade Senhor
Passava noite, vinha dia
O sangue do negro corria
Dia a dia
De lamento em lamento
De agonia em agonia
Ele pedia 
O fim da tirania
Lá em Vila Rica
Junto ao Largo da Bica
Local da opressão
A fiel maçonaria
Com sabedoria
Deu sua decisão
Com flores e alegria veio a abolição
A independência laureando seu brasão
Ao longe, soldados e tambores
Alunos e professores
Acompanhados de clarim
Cantavam assim :
Já raiou a liberdade
A liberdade já raiou
Essa brisa que a juventude afaga
Esta chama que o ódio não apaga 
Pelo universo é a evolução 
Em sua legítima razão
Samba, oh samba 
Tem a sua primazia
Em gozar de felicidade
Samba, meu samba 
Presta esta homenagem
Aos heróis da liberdade"
1969,5,Unidos de Vila Isabel Yayá do Cais Dourados L A,105.0,https://galeriadosamba.com.br/escolas-de-samba/unidos-de-vila-isabel/1969/,"No cais dourado da velha Bahia
Onde estava o capoeira
A Yayá também se via
Juntos na feira ou na romaria
No banho de cachoeira
E também na pescaria
 
Dançavam juntos
Em todo fandango e festinha
 
E no reisado, contramestre e pastorinha
 
Cantavam laralalaialaiá
Nas festas do alto do Gantois
 
Mas loucamente a Yayá do Cais Dourado
Trocou seu amor ardente 
Por um moço requintado
E foi-se embora
Passear em barco a vela
Desfilando em carruagem
Já não era mais aquela
 
E o capoeira que era valente chorou
 
Até que um dia a mulata 
Lá no cais apareceu
Ao ver o seu capoeira
Pra ele logo correu
 
Pediu guarida
Mas o capoeira não deu
 
Desesperada saiu pelo mundo a vagar
E o capoeira ficou com seu povo a cantar
Lalaialalará ...
 
Cantavam laralalaialaiá
Nas festas do alto do Gantois"
1969,6,"Estácio de Sá Gabriela, cravo e canela L A",101.0,https://galeriadosamba.com.br/escolas-de-samba/estacio-de-sa/1969/,"Foi na Bahia
Na cidade de Ilhéus
Que surgiu um grupo de sertanejos
Fugindo da seca do sertão
Junto estava Gabriela
Maltrapilha com uma trouxa na mão
E a poeira escondendo
Todo o seu encanto e sedução
Nacib ao contratá-la não esperava
Que ela fosse tão bela
E a retirante sertaneja
Tivesse as mãos tão divinas e habilidosas
Nos saborosos quitutes da Bahia
Nacib exclamou com tanta beleza que via
Tão bela, ô tão bela
O cheiro de cravo e a cor de canela
Ele se apaixonou
E com ela se casou
Gabriela moça pobre do sertão
Gostava de cantiga de roda
E de dançar com os pé no chão
Festejava o ano novo
No salão mais rico de Ilhéus
Quando passou a ""Pastorinha""
Festejando reisado a cantar
Gabriela abandonou luxo e riqueza
Saiu correndo, pegou o estandarte e foi pular
Toda aquela gente importante
Foi para a rua com ela festejar
Mais uma vez a mulata
Demonstrando seu valor
Uniu pobres e ricos
Com a força do amor
Toda a cidade de Ilhéus
Comentava o idílio de Gabriela
Mas Nacib compreendeu
Que ela era uma flor
Nasceu para enfeitar a vida
De prazeres e de amor"
1969,7,Mocidade Independente de Padre Miguel Vida e glória de Francisco Adolfo Varnhagen L A,96.0,https://galeriadosamba.com.br/escolas-de-samba/mocidade-independente-de-padre-miguel/1969/,"São Paulo
Terra dos bandeirantes
Torrão natal de um artista
Tão brilhante
Francisco Adolfo Varnhagem
Ilustre personagem
Este vulto imortal
Exaltamos neste carnaval
 
Glória ao eminente historiador
Assim cantamos em seu louvor
Ôôôôôôôôôôô
 
Apresentamos nesta passarela
Esta história tão bela
De Visconde de Porto Seguro
Este gênio do passado
Foi honrado e agraciado
Com justas distinções
Por outras grandes nações
Obras literárias
Deste notável escritor
São lidas até hoje
Mostrando seu real valor
Existe no Largo da Glória
O busto
Deste grande brasileiro
Embelezando ainda mais
O cenário do Rio de Janeiro"
1969,8,"Imperatriz Leopoldinense Brasil, flor amorosa de três raças L A",95.0,https://galeriadosamba.com.br/escolas-de-samba/imperatriz-leopoldinense/1969/,"Vejam de um poema
Deslumbrante
Germinam fatos marcantes
Deste maravilhoso Brasil
Que a lusa prece descobria
Botão em flor crescendo um dia
Nesta mistura sutil
E assim...
Na corte os nossos ancestrais
Trescalam doces madrigais
De um verde ninho na floresta
Ouçam...
Na voz do pássaro cantor
Um canto índio de amor
Em bodas perfumando a festa
 
Venham ver
O sol dourar de novo
Esta flor
Sonora tradição de um povo
Samba de raro esplendor
 
Vejam o luxo da mulata
Pisando brilhante, ouro e prata,
A domingar
Ouçam o trio guerreiro das matas
Ecoando nas cascatas a desafiar
Ó meu Brasil, berço de uma nova era
Quando o pescador espera
Proteção de Iemanjá, rainha do mar
E na cadência febril das moendas
Batuque que vem das fazendas
Eis a lição
Dos garimpos aos canaviais
Somos todos sempre iguais
Nesta miscigenação
 
Ó meu Brasil,
Flor amorosa de três raças
És tão sublime quando passas
Na mais perfeita integração"
1969,9,Unidos de Lucas Rapsódia folclórica L A,93.0,https://galeriadosamba.com.br/escolas-de-samba/unidos-de-lucas/1969/,"Abrem-se as cortinas coloridas
Mostrando os matizes da vida
Num cenário espetacular
Lendas, flores, lindas fantasias
Contos que o poeta vem cantar
Do céu, da terra e do mar
Do sol, das noites de luar
 
Esclarecendo em alto som
Que a liberdade é o lado bom
 
Em cortejo de grande alegria
O vaqueiro anuncia a dança do boi-bumbá
O meu boi morreu, o meu boi-bumbá
Manda buscar outro, maninha lá no Ceará
 
Olê lê lê, olê lê olá lá
Maracatu é festa
Pernambuco e Ceará
 
As legendárias Amazonas e a Rainha Conhori
Guerreira de braço forte, que lutou até a morte
Na seita dos Canaraí
No Rio Grande do Sul
O lendário Negrinho do Pastoreio
Foi surrado e amarrado e jogado dentro de um formigueiro
E o Príncipe Obá, homem de grande projeção
Que lutou bravamente na guerra
Foi herói do seu batalhão
As pastorinhas com seus belos madrigais
Entoavam lindos cantos
Que hoje não se ouvem mais
 
Na Bahia tem, tem, tem
Na Bahia tem oh baiana
Água de Vintém"
1969,10,Em Cima da Hora Ouro escravo L A,90.0,https://galeriadosamba.com.br/escolas-de-samba/em-cima-da-hora/1969/,"Do homem africano ressaltamos o valor
Nestas páginas marcantes
Que o “Em Cima do Hora” desfolhou
Que apresentamos neste carnaval
O ouro escravo
No tempo do Brasil colonial
Brilha nos anais desta história
Solto no campo, na serra ou junto ao mar
Ao índio bronzeado não puderam escravizar
Enquanto o negro era martirizado
Na escavação do ouro trabalhando sem cessar
A toda crueldade resistia
Oh! quanto o negro sofria
A exploração era geral
Na mineração e também no vegetal
O pau-brasil
De um século para outro sumiu
Transformado em anilina enriquecendo o tecido
Que o colo de ricas damas cobriu
E as montanhas de esmeraldas
E as pepitas brilhantes
Aumentavam as ilusões dos aventureiros bandeirantes
E o negro trabalhava
Nesta terra importante
Tratava da plantação
Na lavoura verdejante
Ô ô ô lara, lara, lara, ra, ra, ra,
Só o homem africano era braço produtor
Que mais tarde a Lei Áurea libertou"
